Unnamed: 0,checking_balance,months_loan_duration,credit_history,amount,savings_balance,installment_rate,personal_status,other_debtors,property,age,installment_plan,housing,existing_credits,default,dependents,foreign_worker,job,gender,residence_history_months,employment_length_months,telephone_flag,purpose_grouped,employment_stable,employment_risk,residence_stable,residence_risk,stability_score
180,0.0,36,delayed,9572,5.0,1,divorced,none,other,28,none,own,2,1,1,yes,skilled employee,male,6,6,0,business,0,0,0,0,6.0
181,1.0,36,delayed,4455,30.0,2,divorced,none,real estate,30,stores,own,2,1,1,yes,mangement self-employed,male,6,30,1,business,1,0,0,0,20.4
182,-42.0,21,fully repaid this bank,1647,0.0,4,single,none,building society savings,40,none,own,2,1,2,yes,unskilled resident,male,6,30,0,car (new),1,0,0,0,20.4
183,0.0,24,critical,3777,5073.0,4,single,none,real estate,50,none,own,1,0,1,yes,skilled employee,male,96,30,1,furniture,1,0,1,0,56.400000000000006
184,72.0,18,critical,884,13.0,4,single,none,other,36,bank,own,1,1,2,yes,skilled employee,male,96,66,1,car (new),1,0,1,0,78.0
185,0.0,15,critical,1360,24.0,4,single,none,building society savings,31,none,own,2,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
186,42.0,9,fully repaid this bank,5129,49.0,2,single,none,other,74,bank,for free,1,1,2,yes,mangement self-employed,female,96,120,1,car (used),1,0,1,0,110.4
187,57.0,16,critical,1175,83.0,2,single,none,other,68,none,for free,3,0,1,yes,unemployed non-resident,male,24,0,1,car (new),0,1,1,0,9.600000000000001
188,-18.0,12,repaid,674,311.0,4,married,none,building society savings,20,none,own,1,1,1,yes,skilled employee,male,6,66,0,radio/tv,1,0,0,0,42.0
189,193.0,18,fully repaid,3244,8.0,1,single,none,other,33,bank,own,2,0,1,yes,skilled employee,female,60,30,1,furniture,1,0,1,0,42.0
190,0.0,24,repaid,4591,18484.0,2,single,none,building society savings,54,none,own,3,1,1,yes,mangement self-employed,male,24,30,1,business,1,0,1,0,27.6
191,39.0,48,fully repaid,3844,289.0,4,single,none,other,34,none,for free,1,1,2,yes,unskilled resident,male,96,30,0,business,1,0,1,0,56.400000000000006
192,130.0,27,repaid,3915,18.0,4,single,none,other,36,none,own,1,1,2,yes,skilled employee,male,6,30,1,business,1,0,0,0,20.4
193,0.0,6,repaid,2108,42.0,2,married,none,real estate,29,none,rent,1,0,1,yes,skilled employee,male,6,66,0,radio/tv,1,0,0,0,42.0
194,156.0,45,repaid,3031,331.0,4,single,guarantor,building society savings,21,none,rent,1,1,1,yes,skilled employee,male,96,30,0,radio/tv,1,0,1,0,56.400000000000006
195,97.0,9,critical,1501,78.0,2,single,none,other,34,none,own,2,1,1,yes,mangement self-employed,female,24,120,1,education,1,0,1,0,81.6
196,0.0,6,critical,1382,16.0,1,single,none,other,28,none,own,2,0,1,yes,skilled employee,female,6,30,1,radio/tv,1,0,0,0,20.4
197,63.0,12,repaid,951,416.0,4,single,none,other,27,bank,rent,4,1,1,yes,skilled employee,female,96,6,0,furniture,0,0,1,0,42.00000000000001
198,130.0,24,repaid,2760,0.0,4,single,none,other,36,bank,for free,1,0,1,yes,skilled employee,male,96,120,1,car (used),1,0,1,0,110.4
199,132.0,18,delayed,4297,64.0,4,divorced,none,other,40,none,own,1,1,1,yes,mangement self-employed,male,24,120,1,furniture,1,0,1,0,81.6
200,0.0,9,critical,936,601.0,4,single,none,other,52,none,own,2,0,1,yes,skilled employee,male,6,120,1,education,1,0,0,0,74.4
201,-1.0,12,repaid,1168,66.0,4,married,none,real estate,27,none,own,1,0,1,yes,unskilled resident,male,24,30,0,car (new),1,0,1,0,27.6
202,0.0,27,delayed,5117,33.0,3,single,none,other,26,none,own,2,0,1,yes,skilled employee,male,96,30,0,business,1,0,1,0,56.400000000000006
203,-2.0,12,repaid,902,47.0,4,married,none,building society savings,21,none,rent,1,1,1,yes,skilled employee,male,96,30,0,others,1,0,1,0,56.400000000000006
204,0.0,12,critical,1495,13.0,4,single,none,real estate,38,none,own,2,0,2,yes,unskilled resident,male,6,120,0,car (new),1,0,0,0,74.4
205,-26.0,30,critical,10623,26.0,3,single,none,other,38,none,for free,3,0,2,yes,mangement self-employed,male,60,120,1,car (used),1,0,1,0,96.0
206,0.0,12,critical,1935,39.0,4,single,none,real estate,43,none,own,3,0,1,yes,skilled employee,male,96,66,1,furniture,1,0,1,0,78.0
207,147.0,12,critical,1424,59.0,4,single,none,building society savings,26,none,own,1,0,1,yes,skilled employee,male,24,66,0,others,1,0,1,0,49.2
208,-37.0,24,repaid,6568,35.0,2,married,none,other,21,stores,own,1,0,1,yes,unskilled resident,male,6,30,0,business,1,0,0,0,20.4
209,0.0,12,repaid,1413,9708.0,3,single,none,building society savings,55,none,own,1,0,1,no,skilled employee,male,6,66,0,car (used),1,0,0,0,42.0
210,0.0,9,critical,3074,0.0,1,single,none,real estate,33,none,own,2,0,2,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
211,0.0,36,repaid,3835,0.0,2,single,none,real estate,45,none,own,1,0,1,yes,unskilled resident,female,96,120,1,radio/tv,1,0,1,0,110.4
212,-25.0,27,fully repaid,5293,88.0,2,single,none,building society savings,50,stores,own,2,1,1,yes,skilled employee,male,96,0,1,business,0,1,1,0,38.400000000000006
213,392.0,30,delayed,1908,41.0,4,single,none,real estate,66,none,own,1,1,1,yes,mangement self-employed,male,96,120,1,business,1,0,1,0,110.4
214,0.0,36,critical,3342,0.0,4,single,none,other,51,none,own,1,0,1,yes,skilled employee,male,6,120,1,radio/tv,1,0,0,0,74.4
215,41.0,6,critical,932,0.0,1,single,none,building society savings,39,none,own,2,0,1,yes,unskilled resident,female,24,66,0,others,1,0,1,0,49.2
216,-8.0,18,fully repaid,3104,81.0,3,single,none,building society savings,31,bank,own,1,0,1,yes,skilled employee,male,6,66,1,business,1,0,0,0,42.0
217,927.0,36,repaid,3913,71.0,2,single,none,real estate,23,none,own,1,0,1,yes,skilled employee,male,6,30,1,radio/tv,1,0,0,0,20.4
218,-23.0,24,repaid,3021,90.0,2,divorced,none,real estate,24,none,rent,1,0,1,yes,unskilled resident,male,6,30,0,furniture,1,0,0,0,20.4
219,0.0,10,repaid,1364,53.0,2,single,none,other,64,none,own,1,0,1,yes,skilled employee,female,60,30,1,car (new),1,0,1,0,42.0
220,128.0,12,repaid,625,30.0,4,married,guarantor,real estate,26,bank,own,1,0,1,yes,unskilled resident,male,6,6,0,radio/tv,0,0,0,0,6.0
221,-5.0,12,repaid,1200,0.0,4,single,none,building society savings,23,bank,rent,1,0,1,yes,skilled employee,female,96,30,1,education,1,0,1,0,56.400000000000006
222,0.0,12,repaid,707,15.0,4,single,none,real estate,30,bank,own,2,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
223,0.0,24,delayed,2978,0.0,4,single,none,real estate,32,none,own,2,0,2,yes,skilled employee,male,96,30,1,business,1,0,1,0,56.400000000000006
224,0.0,15,repaid,4657,12.0,3,single,none,other,30,none,own,1,0,1,yes,skilled employee,male,6,30,1,car (used),1,0,0,0,20.4
225,0.0,36,fully repaid,2613,42.0,4,single,none,other,27,none,own,2,0,1,yes,skilled employee,male,6,30,0,repairs,1,0,0,0,20.4
226,36.0,48,repaid,10961,2839.0,1,single,co-applicant,other,27,bank,own,2,1,1,yes,skilled employee,male,6,66,1,radio/tv,1,0,0,0,42.0
227,-13.0,12,repaid,7865,51.0,4,single,none,other,53,none,for free,1,1,1,yes,mangement self-employed,male,96,120,1,furniture,1,0,1,0,110.4
228,0.0,9,repaid,1478,78.0,4,single,none,other,22,none,own,1,1,1,yes,skilled employee,male,6,66,0,radio/tv,1,0,0,0,42.0
229,-29.0,24,repaid,3149,71.0,4,single,none,other,22,bank,for free,1,0,1,yes,skilled employee,male,6,6,0,furniture,0,0,0,0,6.0
230,753.0,36,repaid,4210,26.0,4,single,none,other,26,none,own,1,1,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
231,0.0,9,repaid,2507,896.0,2,single,none,other,51,none,for free,1,0,1,yes,unskilled resident,male,96,66,0,car (new),1,0,1,0,78.0
232,0.0,12,repaid,2141,406.0,3,single,none,other,35,none,own,1,0,1,yes,skilled employee,male,6,66,0,radio/tv,1,0,0,0,42.0
233,80.0,18,repaid,866,55.0,4,married,guarantor,real estate,25,none,own,1,0,1,yes,unskilled resident,male,6,30,0,radio/tv,1,0,0,0,20.4
234,0.0,4,critical,1544,99.0,2,single,none,real estate,42,none,own,3,0,2,yes,unskilled resident,male,6,66,0,radio/tv,1,0,0,0,42.0
235,-34.0,24,repaid,1823,54.0,4,single,none,other,30,stores,own,1,1,2,yes,mangement self-employed,male,6,0,0,radio/tv,0,1,0,0,2.4000000000000004
236,170.0,6,repaid,14555,0.0,1,single,none,building society savings,23,none,own,1,1,1,yes,unemployed non-resident,male,6,0,1,car (new),0,1,0,0,2.4000000000000004
237,122.0,21,repaid,2767,413.0,4,divorced,none,other,61,bank,rent,2,1,1,yes,unskilled resident,male,6,120,0,business,1,0,0,0,74.4
238,0.0,12,critical,1291,90.0,4,single,none,building society savings,35,none,own,2,0,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
239,-42.0,30,repaid,2522,94.0,1,single,guarantor,building society savings,39,none,own,1,0,2,yes,skilled employee,male,24,120,0,radio/tv,1,0,1,0,81.6
240,-12.0,24,repaid,915,0.0,4,single,none,other,29,bank,own,1,1,1,yes,skilled employee,female,6,120,0,car (new),1,0,0,0,74.4
241,0.0,6,repaid,1595,25.0,3,single,none,building society savings,51,none,own,1,0,2,yes,skilled employee,male,6,66,0,radio/tv,1,0,0,0,42.0
242,-33.0,48,fully repaid,4605,32.0,3,single,none,other,24,none,for free,2,1,2,yes,skilled employee,male,96,120,0,car (used),1,0,1,0,110.4
243,0.0,12,critical,1185,65.0,3,single,none,real estate,27,none,own,2,0,1,yes,skilled employee,female,6,30,0,business,1,0,0,0,20.4
244,0.0,12,fully repaid this bank,3447,970.0,4,single,none,real estate,35,none,own,1,0,2,yes,unskilled resident,female,24,30,0,others,1,0,1,0,27.6
245,0.0,24,repaid,1258,8.0,4,single,none,real estate,25,none,own,1,0,1,yes,skilled employee,male,6,30,1,business,1,0,0,0,20.4
246,0.0,12,critical,717,8.0,4,single,none,real estate,52,none,own,3,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
247,0.0,6,fully repaid,1204,492.0,4,single,none,other,35,bank,rent,1,0,1,no,skilled employee,male,6,30,0,car (new),1,0,0,0,20.4
248,425.0,24,repaid,1925,27.0,2,single,none,real estate,26,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
249,0.0,18,repaid,433,70.0,3,single,co-applicant,real estate,22,none,rent,1,1,1,yes,skilled employee,female,96,0,0,radio/tv,0,1,1,0,38.400000000000006
250,-47.0,6,critical,666,8063.0,3,single,none,real estate,39,none,own,2,0,1,yes,unskilled resident,female,96,66,1,car (new),1,0,1,0,78.0
251,504.0,12,repaid,2251,2.0,1,single,none,other,46,none,own,1,0,1,yes,unskilled resident,female,6,30,0,furniture,1,0,0,0,20.4
252,157.0,30,repaid,2150,21.0,4,single,guarantor,other,24,bank,own,1,1,1,yes,skilled employee,female,6,30,0,car (new),1,0,0,0,20.4
253,0.0,24,delayed,4151,472.0,2,single,none,building society savings,35,none,own,2,0,1,yes,skilled employee,male,60,30,0,furniture,1,0,1,0,42.0
254,82.0,9,repaid,2030,0.0,2,single,none,other,24,none,own,1,0,1,yes,skilled employee,male,6,66,1,furniture,1,0,0,0,42.0
255,100.0,60,delayed,7418,0.0,1,single,none,real estate,27,none,own,1,0,1,yes,unskilled resident,male,6,30,0,radio/tv,1,0,0,0,20.4
256,0.0,24,critical,2684,40.0,4,single,none,real estate,35,none,own,2,0,1,yes,unskilled resident,male,6,30,0,radio/tv,1,0,0,0,20.4
257,-27.0,12,fully repaid this bank,2149,49.0,4,divorced,none,other,29,none,for free,1,1,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
258,0.0,15,repaid,3812,276.0,1,single,none,other,23,none,own,1,0,1,yes,skilled employee,female,96,6,1,car (used),0,0,1,0,42.00000000000001
259,0.0,11,critical,1154,318.0,4,single,none,real estate,57,none,own,3,0,1,yes,unskilled resident,female,96,0,0,radio/tv,0,1,1,0,38.400000000000006
260,-24.0,12,repaid,1657,40.0,2,single,none,real estate,27,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
261,-2.0,24,repaid,1603,19.0,4,single,none,other,55,none,own,1,0,1,yes,skilled employee,female,96,120,0,radio/tv,1,0,1,0,110.4
262,-40.0,18,critical,5302,93.0,2,single,none,other,36,none,for free,3,0,1,yes,mangement self-employed,male,96,66,1,car (new),1,0,1,0,78.0
263,0.0,12,critical,2748,44.0,2,single,none,other,57,bank,for free,3,0,1,yes,unskilled resident,female,96,120,0,education,1,0,1,0,110.4
264,0.0,10,critical,1231,32.0,3,single,none,real estate,32,none,own,2,0,2,no,unskilled resident,male,96,66,0,car (new),1,0,1,0,78.0
265,67.0,15,repaid,802,39.0,4,single,none,other,37,none,own,1,1,2,yes,skilled employee,male,24,120,0,radio/tv,1,0,1,0,81.6
266,0.0,36,critical,6304,0.0,4,single,none,real estate,36,none,own,2,0,1,yes,skilled employee,male,96,120,0,business,1,0,1,0,110.4
267,0.0,24,repaid,1533,98.0,4,single,none,other,38,stores,own,1,0,1,yes,skilled employee,female,24,6,1,radio/tv,0,0,1,0,13.200000000000001
268,-3.0,14,repaid,8978,72.0,1,divorced,none,building society savings,45,none,own,1,1,1,no,mangement self-employed,male,96,120,1,car (new),1,0,1,0,110.4
269,0.0,24,repaid,999,0.0,4,single,none,other,25,none,own,2,0,1,yes,skilled employee,male,6,120,0,radio/tv,1,0,0,0,74.4
270,0.0,18,repaid,2662,0.0,4,single,none,building society savings,32,none,own,1,0,1,no,skilled employee,male,24,30,0,car (new),1,0,1,0,27.6
271,0.0,12,critical,1402,647.0,3,single,none,other,37,none,rent,1,0,1,yes,skilled employee,female,96,66,1,furniture,1,0,1,0,78.0
272,90.0,48,fully repaid this bank,12169,0.0,4,single,co-applicant,other,36,none,for free,1,0,1,yes,mangement self-employed,male,96,0,1,car (new),0,1,1,0,38.400000000000006
273,157.0,48,repaid,3060,18.0,4,single,none,real estate,28,none,own,2,1,1,yes,skilled employee,male,96,66,0,radio/tv,1,0,1,0,78.0
274,-47.0,30,repaid,11998,25.0,1,divorced,none,other,34,none,own,1,1,1,yes,unskilled resident,male,6,6,1,repairs,0,0,0,0,6.0
275,0.0,9,repaid,2697,86.0,1,single,none,real estate,32,none,own,1,0,2,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
276,0.0,18,critical,2404,92.0,2,single,none,other,26,none,own,2,0,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
277,-8.0,12,repaid,1262,0.0,2,divorced,none,building society savings,49,none,own,1,0,1,yes,unskilled resident,male,96,120,1,furniture,1,0,1,0,110.4
278,0.0,6,repaid,4611,28.0,1,single,none,building society savings,32,none,own,1,1,1,yes,skilled employee,female,96,0,0,furniture,0,1,1,0,38.400000000000006
279,0.0,24,repaid,1901,213.0,4,single,none,other,29,none,rent,1,0,1,yes,mangement self-employed,male,96,30,1,radio/tv,1,0,1,0,56.400000000000006
280,0.0,15,critical,3368,7306.0,3,single,none,other,23,none,rent,2,0,1,yes,skilled employee,male,96,120,1,car (used),1,0,1,0,110.4
281,0.0,12,repaid,1574,49.0,4,single,none,real estate,50,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
282,405.0,18,fully repaid this bank,1445,0.0,4,single,none,other,49,bank,own,1,0,1,yes,unskilled resident,male,96,66,0,radio/tv,1,0,1,0,78.0
283,0.0,15,critical,1520,0.0,4,single,none,building society savings,63,none,own,1,0,1,yes,skilled employee,male,96,120,0,furniture,1,0,1,0,110.4
284,163.0,24,critical,3878,273.0,4,divorced,none,other,37,none,own,1,0,1,yes,skilled employee,male,6,6,1,car (new),0,0,0,0,6.0
285,-24.0,47,repaid,10722,83.0,1,single,none,real estate,35,none,own,1,0,1,yes,unskilled resident,female,6,6,1,car (new),0,0,0,0,6.0
286,-42.0,48,repaid,4788,68.0,4,single,none,building society savings,26,none,own,1,0,2,yes,skilled employee,male,60,66,0,car (used),1,0,1,0,63.6
287,109.0,48,delayed,7582,406.0,2,single,none,other,31,none,for free,1,0,1,yes,mangement self-employed,male,96,0,1,others,0,1,1,0,38.400000000000006
288,182.0,12,repaid,1092,91.0,4,single,guarantor,real estate,49,none,own,2,0,1,yes,skilled employee,female,96,30,1,radio/tv,1,0,1,0,56.400000000000006
289,-14.0,24,delayed,1024,8.0,4,married,none,real estate,48,stores,own,1,1,1,yes,skilled employee,male,96,6,0,radio/tv,0,0,1,0,42.00000000000001
290,0.0,12,repaid,1076,50.0,2,married,none,real estate,26,none,own,1,0,1,no,skilled employee,male,6,30,1,business,1,0,0,0,20.4
291,58.0,36,repaid,9398,63.0,1,married,none,other,28,none,rent,1,1,1,yes,mangement self-employed,male,96,6,1,car (used),0,0,1,0,42.00000000000001
292,-39.0,24,critical,6419,57.0,2,single,none,other,44,none,for free,2,0,2,yes,mangement self-employed,female,96,120,1,car (used),1,0,1,0,110.4
293,623.0,42,critical,4796,40.0,4,single,none,other,56,none,for free,1,0,1,yes,skilled employee,male,96,120,0,car (used),1,0,1,0,110.4
294,0.0,48,critical,7629,0.0,4,divorced,none,other,46,bank,own,2,0,2,yes,mangement self-employed,male,6,120,0,business,1,0,0,0,74.4
295,146.0,48,repaid,9960,35.0,1,single,none,other,26,none,own,1,1,1,yes,skilled employee,female,6,6,1,furniture,0,0,0,0,6.0
296,0.0,12,repaid,4675,0.0,1,single,none,other,20,none,rent,1,0,1,yes,skilled employee,female,96,0,0,car (used),0,1,1,0,38.400000000000006
297,0.0,10,repaid,1287,0.0,4,single,co-applicant,building society savings,45,none,own,1,0,1,no,unskilled resident,male,6,120,0,car (new),1,0,0,0,74.4
298,0.0,18,repaid,2515,75.0,3,single,none,real estate,43,none,own,1,0,1,yes,skilled employee,male,96,30,1,furniture,1,0,1,0,56.400000000000006
299,18.0,21,critical,2745,14575.0,3,single,none,other,32,none,own,2,0,1,yes,skilled employee,male,6,66,1,furniture,1,0,0,0,42.0
300,0.0,6,repaid,672,3.0,1,single,none,real estate,54,none,own,1,0,1,yes,unemployed non-resident,female,96,0,1,car (new),0,1,1,0,38.400000000000006
301,194.0,36,fully repaid,3804,78.0,4,single,none,other,42,none,own,1,1,1,yes,skilled employee,female,6,30,1,radio/tv,1,0,0,0,20.4
302,482.0,24,critical,1344,0.0,4,single,none,real estate,37,bank,own,2,1,2,yes,unskilled resident,male,6,66,0,car (new),1,0,0,0,42.0
303,-15.0,10,critical,1038,4.0,4,single,co-applicant,building society savings,49,none,own,2,0,1,yes,skilled employee,male,24,66,1,car (new),1,0,1,0,49.2
304,0.0,48,critical,10127,943.0,2,single,none,other,44,bank,for free,1,1,1,yes,skilled employee,male,6,30,0,car (new),1,0,0,0,20.4
305,0.0,6,repaid,1543,2785.0,4,divorced,none,real estate,33,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
306,0.0,30,repaid,4811,0.0,2,single,none,building society savings,24,stores,rent,1,0,1,yes,unskilled resident,female,96,30,0,car (used),1,0,1,0,56.400000000000006
307,-32.0,12,repaid,727,280.0,4,married,none,other,33,none,own,1,1,1,yes,unskilled resident,male,24,0,1,radio/tv,0,1,1,0,9.600000000000001
308,179.0,8,repaid,1237,83.0,3,single,none,real estate,24,none,own,1,1,1,yes,skilled employee,female,60,30,0,furniture,1,0,1,0,42.0
309,165.0,9,repaid,276,40.0,4,married,none,real estate,22,none,rent,1,0,1,yes,unskilled resident,male,96,30,0,car (new),1,0,1,0,56.400000000000006
310,35.0,48,repaid,5381,0.0,3,single,none,other,40,bank,for free,1,0,1,yes,unemployed non-resident,male,96,0,1,others,0,1,1,0,38.400000000000006
311,0.0,24,repaid,5511,115.0,4,single,none,other,25,stores,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
312,411.0,24,repaid,3749,38.0,2,single,none,other,26,none,own,1,0,1,yes,skilled employee,female,96,6,0,furniture,0,0,1,0,42.00000000000001
313,32.0,12,repaid,685,33.0,2,married,none,other,25,bank,own,1,1,1,yes,unskilled resident,male,60,66,0,car (new),1,0,1,0,63.6
314,927.0,4,repaid,1494,0.0,1,single,none,real estate,29,none,own,1,0,2,no,unskilled resident,male,6,6,0,car (new),0,0,0,0,6.0
315,-17.0,36,fully repaid this bank,2746,13.0,4,single,none,other,31,bank,own,1,1,1,yes,skilled employee,male,60,120,0,furniture,1,0,1,0,96.0
316,-47.0,12,repaid,708,83.0,2,single,guarantor,building society savings,38,none,own,1,0,2,yes,unskilled resident,male,24,30,0,furniture,1,0,1,0,27.6
317,44.0,24,repaid,4351,0.0,1,single,none,building society savings,48,none,own,1,0,1,yes,unskilled resident,female,96,30,1,furniture,1,0,1,0,56.400000000000006
318,0.0,12,critical,701,3.0,4,single,none,other,32,none,own,2,0,1,yes,skilled employee,male,6,30,0,education,1,0,0,0,20.4
319,-6.0,15,delayed,3643,50.0,1,single,none,building society savings,27,none,own,2,0,1,yes,unskilled resident,female,96,120,0,furniture,1,0,1,0,110.4
320,132.0,30,critical,4249,76.0,4,married,none,other,28,none,own,2,1,1,yes,mangement self-employed,male,6,0,0,car (new),0,1,0,0,2.4000000000000004
321,-28.0,24,repaid,1938,4.0,4,divorced,none,building society savings,32,none,own,1,1,1,yes,skilled employee,male,24,6,0,radio/tv,0,0,1,0,13.200000000000001
322,-2.0,24,repaid,2910,65.0,2,single,none,other,34,none,for free,1,0,1,yes,mangement self-employed,male,6,30,1,car (used),1,0,0,0,20.4
323,-36.0,18,repaid,2659,10331.0,4,single,none,other,28,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
324,0.0,18,critical,1028,93.0,4,single,none,real estate,36,none,own,2,0,1,yes,skilled employee,female,24,30,0,car (new),1,0,1,0,27.6
325,-43.0,8,critical,3398,66.0,1,single,none,real estate,39,none,own,2,0,1,no,unskilled resident,male,96,66,0,car (new),1,0,1,0,78.0
326,0.0,12,critical,5801,0.0,2,single,none,building society savings,49,none,rent,1,0,1,yes,skilled employee,male,96,120,1,furniture,1,0,1,0,110.4
327,0.0,24,repaid,1525,3858.0,4,single,none,other,34,none,own,1,0,2,yes,skilled employee,female,24,66,1,car (new),1,0,1,0,49.2
328,425.0,36,repaid,4473,15.0,4,single,none,other,31,none,own,1,0,1,yes,skilled employee,male,6,120,0,radio/tv,1,0,0,0,74.4
329,86.0,6,repaid,1068,65.0,4,single,none,other,28,none,own,1,0,2,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
330,-44.0,24,critical,6615,52.0,2,single,none,other,75,none,for free,2,0,1,yes,mangement self-employed,male,96,0,1,car (used),0,1,1,0,38.400000000000006
331,0.0,18,critical,1864,313.0,4,single,none,real estate,30,none,own,2,1,1,yes,skilled employee,female,6,30,0,education,1,0,0,0,20.4
332,72.0,60,repaid,7408,331.0,4,single,none,building society savings,24,none,own,1,1,1,yes,mangement self-employed,female,6,6,0,car (new),0,0,0,0,6.0
333,0.0,48,critical,11590,399.0,2,single,none,other,24,bank,rent,2,1,1,yes,unskilled resident,female,96,30,0,car (used),1,0,1,0,56.400000000000006
334,-1.0,24,fully repaid,4110,9.0,3,single,none,other,23,bank,rent,2,1,2,yes,skilled employee,male,96,120,0,furniture,1,0,1,0,110.4
335,-48.0,6,critical,3384,38.0,1,divorced,none,real estate,44,none,rent,1,1,1,yes,mangement self-employed,male,96,30,1,furniture,1,0,1,0,56.400000000000006
336,45.0,13,repaid,2101,95.0,2,single,guarantor,building society savings,23,none,own,1,0,1,yes,unskilled resident,female,96,6,0,radio/tv,0,0,1,0,42.00000000000001
337,-13.0,15,repaid,1275,0.0,4,single,none,other,24,none,rent,1,1,1,yes,skilled employee,female,6,30,0,others,1,0,0,0,20.4
338,-40.0,24,repaid,4169,81.0,4,single,none,building society savings,28,none,own,1,0,1,yes,skilled employee,male,60,30,0,furniture,1,0,1,0,42.0
339,94.0,10,repaid,1521,57.0,4,divorced,none,other,31,none,own,1,0,1,yes,unskilled resident,male,6,30,0,furniture,1,0,0,0,20.4
340,111.0,24,critical,5743,93.0,2,single,none,other,24,none,for free,2,0,1,yes,skilled employee,female,96,6,1,education,0,0,1,0,42.00000000000001
341,-7.0,21,repaid,3599,14.0,1,single,none,other,26,none,rent,1,0,1,yes,unskilled resident,female,96,66,0,furniture,1,0,1,0,78.0
342,62.0,18,repaid,3213,876.0,1,married,none,real estate,25,none,rent,1,0,1,yes,skilled employee,male,60,6,0,radio/tv,0,0,1,0,27.6
343,72.0,18,repaid,4439,61.0,1,single,co-applicant,real estate,33,bank,own,1,0,1,yes,mangement self-employed,male,6,120,1,business,1,0,0,0,74.4
344,406.0,10,repaid,3949,81.0,1,single,guarantor,building society savings,37,none,own,1,0,2,yes,unskilled resident,male,6,6,0,car (new),0,0,0,0,6.0
345,0.0,15,critical,1459,57.0,4,single,none,other,43,none,own,1,0,1,yes,unskilled resident,female,6,30,0,radio/tv,1,0,0,0,20.4
346,199.0,13,critical,882,0.0,4,single,guarantor,real estate,23,none,own,2,0,1,yes,skilled employee,male,96,6,0,radio/tv,0,0,1,0,42.00000000000001
347,105.0,24,repaid,3758,790.0,1,single,none,other,23,none,rent,1,0,1,yes,unemployed non-resident,female,96,0,0,radio/tv,0,1,1,0,38.400000000000006
348,0.0,6,delayed,1743,265.0,1,single,none,real estate,34,none,own,2,0,1,yes,unskilled resident,male,6,30,0,business,1,0,0,0,20.4
349,5.0,9,critical,1136,6195.0,4,single,none,other,32,none,for free,2,1,2,yes,skilled employee,male,24,120,0,education,1,0,1,0,81.6
350,0.0,9,repaid,1236,23.0,1,single,none,real estate,23,none,rent,1,0,1,yes,skilled employee,female,96,6,1,others,0,0,1,0,42.00000000000001
351,77.0,9,repaid,959,51.0,1,single,none,other,29,none,own,1,1,1,no,skilled employee,female,6,30,0,furniture,1,0,0,0,20.4
352,0.0,18,critical,3229,0.0,2,single,none,other,38,none,own,1,0,1,yes,mangement self-employed,male,96,0,1,car (used),0,1,1,0,38.400000000000006
353,-50.0,12,fully repaid,6199,64.0,4,single,none,building society savings,28,none,rent,2,1,1,yes,skilled employee,male,6,30,1,radio/tv,1,0,0,0,20.4
354,0.0,10,repaid,727,555.0,4,single,none,other,46,none,for free,1,0,1,yes,skilled employee,male,96,120,1,education,1,0,1,0,110.4
355,12.0,24,repaid,1246,48.0,4,single,none,real estate,23,stores,own,1,1,1,yes,unskilled resident,male,6,6,0,car (new),0,0,0,0,6.0
356,0.0,12,critical,2331,0.0,1,single,co-applicant,real estate,49,none,own,1,0,1,yes,skilled employee,male,96,120,1,radio/tv,1,0,1,0,110.4
357,0.0,36,delayed,4463,30.0,4,single,none,other,26,none,own,2,1,1,yes,mangement self-employed,male,6,30,1,radio/tv,1,0,0,0,20.4
358,0.0,12,repaid,776,98.0,4,married,none,real estate,28,none,own,1,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
359,-31.0,30,repaid,2406,5.0,4,single,none,real estate,23,none,rent,1,1,1,yes,skilled employee,female,60,66,0,furniture,1,0,1,0,63.6
360,24.0,18,repaid,1239,0.0,4,single,none,other,61,none,for free,1,0,1,yes,skilled employee,male,96,30,0,education,1,0,1,0,56.400000000000006
361,263.0,12,repaid,3399,0.0,2,single,none,other,37,none,own,1,0,1,yes,mangement self-employed,male,24,120,0,radio/tv,1,0,1,0,81.6
